otu_id,functional_form,growth_form,color,surface_texture,oscule_shape,oscule_distribution,ostia,count_no,putative_id
1,composite-massive,thickly-encrusting,black,"opaque, membranous","conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,9,unknown
2,tabular,"flat, disc-like",grey,opaque,"conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,14,unknown
3,encrusting,thinly-encrusting,black,"opaque, membranous","conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,1,hyrtios
4,encrusting,thickly-encrusting,blue-green,opaque,"conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,4,unknown
5,barrel,barrel,red-brown,opaque,"large, terminal, raised","on apex of sponge, confined to distinct pore area (capitum)",not-visible,139,xestospongia
6,encrusting,thickly-encrusting,blue-green,"opaque, membranous","conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,15,unknown
7,composite-massive,"hollow, bifurcate tubular digits",black,"dense, spiculose, heavily pigmented","large, terminal, raised, on the apex of fistules","on apex of sponge, confined to distinct pore area (capitum)",not-visible,1,unknown
8,composite-massive,thickly-encrusting,black,"opaque, membranous","conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,9,unknown
10,encrusting,thickly-encrusting,blue-white,"translucent, membranous","conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,"minute, dispersed evenly over entire surface",60,haliclona
12,stalked,"hollow, single tubular digit",red,opaque,"conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,1,unknown
13,simple-massive,thickly-encrusting,gray-black,opaque,"conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,5,spongia
14,composite-massive,thickly-encrusting,pale-brown,opaque,"conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,2,unknown
15,encrusting,"enlarged basal portion, fistules-protruding",brown,opaque,"conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,4,unknown
16,encrusting,encrusting-tubular,blue,opaque,"conspicuous, discrete, with a slightly raised membraneous lip",mainly on external surface,not-visible,7,unknown
