otu_id,otu_image_url,sample_image_url,otu_img_fname,sample_img_fname
1,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3282981.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3075426.JPG,P3282981.JPG,P3075426.JPG
2,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3306190.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3095672.JPG,P3306190.JPG,P3095672.JPG
3,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3306230.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3306230.JPG,P3306230.JPG,P3306230.JPG
4,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3306272.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3306272.JPG,P3306272.JPG,P3306272.JPG
5,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P5234173.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3075367.JPG,P5234173.JPG,P3075367.JPG
6,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3282997.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3075448.JPG,P3282997.JPG,P3075448.JPG
7,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3306249.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3306249.JPG,P3306249.JPG,P3306249.JPG
8,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3306262.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3075475.JPG,P3306262.JPG,P3075475.JPG
10,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3283001.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3035057.JPG,P3283001.JPG,P3035057.JPG
12,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3282963.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3282963.JPG,P3282963.JPG,P3282963.JPG
13,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3282958.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3075384.JPG,P3282958.JPG,P3075384.JPG
14,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P4123380.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P4123380.JPG,P4123380.JPG,P4123380.JPG
15,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P4123420.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3095669.JPG,P4123420.JPG,P3095669.JPG
16,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P4123375.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P4123375.JPG,P4123375.JPG,P4123375.JPG
17,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3100702.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3075466.JPG,P3100702.JPG,P3075466.JPG
18,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/otu/P3106159.JPG,https://frckjzkmelttjzkabepe.supabase.co/storage/v1/object/public/sponge/sample/P3070389.JPG,P3106159.JPG,P3070389.JPG
